timestamp,equity
2026-06-01T14:00:00+00:00,100000.0
2026-06-02T14:00:00+00:00,100000.0
2026-06-03T14:00:00+00:00,100000.0
2026-06-04T14:00:00+00:00,100000.0
2026-06-05T14:00:00+00:00,100000.0
2026-06-08T14:00:00+00:00,100000.0
2026-06-09T14:00:00+00:00,99980.0
2026-06-10T14:00:00+00:00,99980.0
2026-06-11T14:00:00+00:00,99984.0
2026-06-12T14:00:00+00:00,100000.0
2026-06-15T14:00:00+00:00,99739.95
2026-06-16T14:00:00+00:00,99739.95
2026-06-17T14:00:00+00:00,99684.95
2026-06-18T14:00:00+00:00,99994.95
2026-06-22T14:00:00+00:00,99334.95
2026-06-23T14:00:00+00:00,99848.26
2026-06-24T14:00:00+00:00,99607.26
2026-06-25T14:00:00+00:00,99187.26
2026-06-26T14:00:00+00:00,100410.8
2026-06-29T14:00:00+00:00,101507.8
2026-06-30T14:00:00+00:00,100274.54
2026-07-01T14:00:00+00:00,101696.02
2026-07-02T14:00:00+00:00,100802.02
2026-07-06T14:00:00+00:00,101593.71
2026-07-07T14:00:00+00:00,101593.71
2026-07-08T14:00:00+00:00,101593.71
2026-07-09T14:00:00+00:00,101593.71
2026-07-10T14:00:00+00:00,101593.71
2026-07-13T14:00:00+00:00,101593.71
2026-07-14T14:00:00+00:00,101548.71
2026-07-15T14:00:00+00:00,101733.71
2026-07-16T14:00:00+00:00,101688.71
2026-07-17T14:00:00+00:00,102000.18
2026-07-20T14:00:00+00:00,101955.18
2026-07-21T14:00:00+00:00,101885.18
2026-07-22T14:00:00+00:00,101660.18
2026-07-23T14:00:00+00:00,102986.84
2026-07-24T14:00:00+00:00,102996.84
2026-07-27T14:00:00+00:00,103131.01
2026-07-28T14:00:00+00:00,103178.92
2026-07-29T14:00:00+00:00,102793.92
2026-07-30T14:00:00+00:00,104127.06
2026-07-31T14:00:00+00:00,104251.06
2026-08-03T14:00:00+00:00,102913.06
2026-08-04T14:00:00+00:00,101051.31
2026-08-05T14:00:00+00:00,101128.59
2026-08-06T14:00:00+00:00,101296.59
2026-08-07T14:00:00+00:00,101052.59
2026-08-10T14:00:00+00:00,101802.92
2026-08-11T14:00:00+00:00,101913.31
2026-08-12T14:00:00+00:00,101913.31
2026-08-13T14:00:00+00:00,101913.31
2026-08-14T14:00:00+00:00,101913.31
2026-08-17T14:00:00+00:00,101913.31
2026-08-18T14:00:00+00:00,101913.31
2026-08-19T14:00:00+00:00,101913.31
2026-08-20T14:00:00+00:00,101913.31
2026-08-21T14:00:00+00:00,101913.31
2026-08-24T14:00:00+00:00,101913.31
2026-08-25T14:00:00+00:00,101913.31
2026-08-26T14:00:00+00:00,101913.31
