timestamp,equity
2026-08-17T14:00:00+00:00,99990.0
2026-08-17T14:15:00+00:00,100037.32
2026-08-17T14:30:00+00:00,101053.64
2026-08-17T14:45:00+00:00,101057.32
2026-08-17T15:00:00+00:00,101061.11
2026-08-17T15:15:00+00:00,101041.93
2026-08-17T15:30:00+00:00,101010.2
2026-08-17T15:45:00+00:00,101010.2
2026-08-17T16:00:00+00:00,101010.2
2026-08-17T16:15:00+00:00,101010.2
2026-08-17T16:30:00+00:00,101010.2
2026-08-17T16:45:00+00:00,101010.2
2026-08-17T17:00:00+00:00,101010.2
2026-08-17T17:15:00+00:00,101010.2
2026-08-17T17:30:00+00:00,101010.2
2026-08-17T17:45:00+00:00,100998.2
2026-08-17T18:00:00+00:00,100463.07
2026-08-17T18:15:00+00:00,100426.5
2026-08-17T18:30:00+00:00,100329.05
2026-08-17T18:45:00+00:00,100329.05
2026-08-17T19:00:00+00:00,100329.05
2026-08-17T19:10:00+00:00,100329.05
2026-08-18T14:00:00+00:00,100329.05
2026-08-18T14:15:00+00:00,100308.55
2026-08-18T14:30:00+00:00,100347.18
2026-08-18T14:45:00+00:00,100303.7
2026-08-18T15:00:00+00:00,100303.7
2026-08-18T15:15:00+00:00,100303.7
2026-08-18T15:30:00+00:00,100303.7
2026-08-18T15:45:00+00:00,100303.7
2026-08-18T16:00:00+00:00,100303.7
2026-08-18T16:15:00+00:00,100303.7
2026-08-18T16:30:00+00:00,100303.7
2026-08-18T16:45:00+00:00,100303.7
2026-08-18T17:00:00+00:00,100303.7
2026-08-18T17:15:00+00:00,100303.7
2026-08-18T17:30:00+00:00,100297.2
2026-08-18T17:45:00+00:00,100290.29
2026-08-18T18:00:00+00:00,100276.32
2026-08-18T18:15:00+00:00,100270.27
2026-08-18T18:30:00+00:00,100284.97
2026-08-18T18:45:00+00:00,100274.13
2026-08-18T19:00:00+00:00,100274.13
2026-08-18T19:10:00+00:00,100274.13
2026-08-19T14:00:00+00:00,100262.13
2026-08-19T14:15:00+00:00,100205.97
2026-08-19T14:30:00+00:00,100260.93
2026-08-19T14:45:00+00:00,100246.76
2026-08-19T15:00:00+00:00,100246.62
2026-08-19T15:15:00+00:00,100239.18
2026-08-19T15:30:00+00:00,100239.18
2026-08-19T15:45:00+00:00,100239.18
2026-08-19T16:00:00+00:00,100239.18
2026-08-19T16:15:00+00:00,100239.18
2026-08-19T16:30:00+00:00,100239.18
2026-08-19T16:45:00+00:00,100239.18
2026-08-19T17:00:00+00:00,100239.18
2026-08-19T17:15:00+00:00,100239.18
2026-08-19T17:30:00+00:00,100222.68
2026-08-19T17:45:00+00:00,100224.66
2026-08-19T18:00:00+00:00,100220.03
2026-08-19T18:15:00+00:00,100220.03
2026-08-19T18:30:00+00:00,100220.03
2026-08-19T18:45:00+00:00,100220.03
2026-08-19T19:00:00+00:00,100220.03
2026-08-19T19:10:00+00:00,100220.03
2026-08-20T14:00:00+00:00,100201.03
2026-08-20T14:15:00+00:00,100148.95
2026-08-20T14:30:00+00:00,100151.48
2026-08-20T14:45:00+00:00,100156.74
2026-08-20T15:00:00+00:00,100156.74
2026-08-20T15:15:00+00:00,100143.74
2026-08-20T15:30:00+00:00,100116.59
2026-08-20T15:45:00+00:00,100035.45
2026-08-20T16:00:00+00:00,100035.45
2026-08-20T16:15:00+00:00,100035.45
2026-08-20T16:30:00+00:00,100035.45
2026-08-20T16:45:00+00:00,100035.45
2026-08-20T17:00:00+00:00,100035.45
2026-08-20T17:15:00+00:00,100035.45
2026-08-20T17:30:00+00:00,100024.95
2026-08-20T17:45:00+00:00,100069.62
2026-08-20T18:00:00+00:00,100045.58
2026-08-20T18:15:00+00:00,100029.95
2026-08-20T18:30:00+00:00,100029.95
2026-08-20T18:45:00+00:00,100029.95
2026-08-20T19:00:00+00:00,100029.95
2026-08-20T19:10:00+00:00,100029.95
2026-08-21T14:00:00+00:00,99993.45
2026-08-21T14:15:00+00:00,101086.64
2026-08-21T14:30:00+00:00,101086.64
2026-08-21T14:45:00+00:00,101086.64
2026-08-21T15:00:00+00:00,101086.64
2026-08-21T15:15:00+00:00,101073.14
2026-08-21T15:30:00+00:00,100801.89
2026-08-21T15:45:00+00:00,100801.89
2026-08-21T16:00:00+00:00,100801.89
2026-08-21T16:15:00+00:00,100801.89
2026-08-21T16:30:00+00:00,100801.89
2026-08-21T16:45:00+00:00,100801.89
2026-08-21T17:00:00+00:00,100801.89
2026-08-21T17:15:00+00:00,100801.89
2026-08-21T17:30:00+00:00,100796.89
2026-08-21T17:45:00+00:00,100789.49
2026-08-21T18:00:00+00:00,100790.98
2026-08-21T18:15:00+00:00,101024.77
2026-08-21T18:30:00+00:00,101008.27
2026-08-21T18:45:00+00:00,100745.37
2026-08-21T19:00:00+00:00,100745.37
2026-08-21T19:10:00+00:00,100742.51
