timestamp,equity
2026-08-17T14:00:00+00:00,99990.0
2026-08-17T14:15:00+00:00,99993.0
2026-08-17T14:30:00+00:00,99987.0
2026-08-17T14:45:00+00:00,99934.71
2026-08-17T15:00:00+00:00,99927.71
2026-08-17T15:15:00+00:00,99908.53
2026-08-17T15:30:00+00:00,99969.21
2026-08-17T15:45:00+00:00,99969.21
2026-08-17T16:00:00+00:00,99969.21
2026-08-17T16:15:00+00:00,99969.21
2026-08-17T16:30:00+00:00,99969.21
2026-08-17T16:45:00+00:00,99969.21
2026-08-17T17:00:00+00:00,99969.21
2026-08-17T17:15:00+00:00,99969.21
2026-08-17T17:30:00+00:00,99969.21
2026-08-17T17:45:00+00:00,99957.21
2026-08-17T18:00:00+00:00,99757.96
2026-08-17T18:15:00+00:00,99861.3
2026-08-17T18:30:00+00:00,99861.3
2026-08-17T18:45:00+00:00,99861.3
2026-08-17T19:00:00+00:00,99861.3
2026-08-17T19:10:00+00:00,99861.3
2026-08-18T14:00:00+00:00,99855.3
2026-08-18T14:15:00+00:00,99739.2
2026-08-18T14:30:00+00:00,99488.18
2026-08-18T14:45:00+00:00,99426.47
2026-08-18T15:00:00+00:00,99426.47
2026-08-18T15:15:00+00:00,99422.47
2026-08-18T15:30:00+00:00,99330.15
2026-08-18T15:45:00+00:00,99405.34
2026-08-18T16:00:00+00:00,99405.34
2026-08-18T16:15:00+00:00,99405.34
2026-08-18T16:30:00+00:00,99405.34
2026-08-18T16:45:00+00:00,99405.34
2026-08-18T17:00:00+00:00,99405.34
2026-08-18T17:15:00+00:00,99405.34
2026-08-18T17:30:00+00:00,99394.84
2026-08-18T17:45:00+00:00,99345.4
2026-08-18T18:00:00+00:00,99410.56
2026-08-18T18:15:00+00:00,99452.35
2026-08-18T18:30:00+00:00,99452.35
2026-08-18T18:45:00+00:00,99452.35
2026-08-18T19:00:00+00:00,99452.35
2026-08-18T19:10:00+00:00,99452.35
